nombre,descripcion,precio,precio_2
Vinos Blancos,Cepa,Media,Botella
Cousiño Macul Don Luis,"Sauvignon Blanc, Chardonnay",25.000,40.000
Castillo de Molina,Chardonnay,35.000,67.000
Misiones de Rengo,Sauvignon Blanc,,47.000
Vinos Rosados,,,
Cousiño Macul Don Luis ,,,41.000
J.P. Chenet,,,51.000
J.P. Chenet Sparkling,,22.000,53.000
Las Moras Joven,,,40.000
Lambrusco Medici Rosato,,,39.000
Vinos Tintos,,,
Cousiño Macul Don Luis,Cabernet Sauvignon,25.000,40.000
Castillo de Molina,"Cabernet Sauvignon, Cabernet",35.000,67.000
Misiones de Rengo,"Cabernet Sauvignon, Carmenere, Merlot",,47.000
Las Moras Joven,Malbec,31.000,43.000
Las Moras Reserva,Malbec,,56.000
La Consulta Reserva,Malbec,25.000,47.000
Trapiche Roble Reserva,Malbec,,56.000
Lambrusco Medici Rosso,,,39.000
Copa de vino,,,8.500
Jarra Sangría Blanca y Lychees,,,55.000
Jarra Sangría Rosada,,,55.000
Jarra Sangría Tinto,,,55.000
